Record_ID,Year,Month,Quarter,Model,Variant,Category,List_Price,Promo_Discount_Percent,Promo_Price,Available_Stock,Avg_Daily_Sales,Days_of_Supply,Stock_Status,Import_Cost,Profit_Margin
47,2022,2,Q1,Land Cruiser,GR Sport,SUV,285675,5,271391,13,1,13,Low,157121,128553
48,2022,2,Q1,RAV4,LE,SUV,105175,10,94657,60,3,20,Balanced,57846,47328
49,2022,2,Q1,RAV4,XLE,SUV,113589,5,107909,62,2,31,Balanced,62473,51115
50,2022,2,Q1,RAV4,Adventure,SUV,122003,5,115902,58,1,58,Full,67101,54901
51,2022,2,Q1,RAV4,Hybrid,SUV,130417,5,123896,25,1,25,Balanced,71729,58687
52,2022,2,Q1,Hilux,GL,Pickup,85141,15,72369,66,2,33,Balanced,46827,38313
53,2022,2,Q1,Hilux,SR5,Pickup,91953,5,87355,36,1,36,Balanced,50574,41378
54,2022,2,Q1,Hilux,TRD,Pickup,98764,10,88887,41,1,41,Balanced,54320,44443
55,2022,2,Q1,Fortuner,GX,SUV,135225,10,121702,43,1,43,Balanced,74373,60851
56,2022,2,Q1,Fortuner,VX,SUV,146043,3,141661,29,1,29,Balanced,80323,65719
57,2022,2,Q1,Fortuner,TRD Sportivo,SUV,156861,3,152155,20,1,20,Balanced,86273,70587
58,2022,2,Q1,Yaris,Y,Hatchback,58096,7,54029,38,1,38,Balanced,31952,26143
59,2022,2,Q1,Yaris,Y+,Hatchback,62744,5,59606,68,1,68,Full,34509,28234
60,2022,2,Q1,Yaris,GL,Hatchback,67392,10,60652,31,1,31,Balanced,37065,30326
61,2022,2,Q1,Avalon,XLE,Sedan,145241,3,140883,45,2,22,Balanced,79882,65358
62,2022,2,Q1,Avalon,Limited,Sedan,156861,3,152155,21,1,21,Balanced,86273,70587
63,2022,2,Q1,Avalon,Touring,Sedan,168480,5,160056,21,1,21,Balanced,92664,75816
64,2022,2,Q1,C-HR,LE,SUV,92153,15,78330,31,1,31,Balanced,50684,41468
65,2022,2,Q1,C-HR,XLE,SUV,99525,7,92558,47,1,47,Full,54738,44786
66,2022,2,Q1,Supra,2.0,Sports,280466,10,252419,5,1,5,Low,154256,126209
67,2022,2,Q1,Supra,3.0,Sports,302904,7,281700,55,1,55,Full,166597,136306
68,2022,2,Q1,Supra,A91 Edition,Sports,325341,3,315580,16,1,16,Balanced,178937,146403
69,2022,3,Q1,Camry,LE,Sedan,102255,0,102255,34,1,34,Balanced,56240,46014
70,2022,3,Q1,Camry,SE,Sedan,110435,7,102704,54,1,54,Full,60739,49695
71,2022,3,Q1,Camry,XLE,Sedan,118615,0,118615,33,1,33,Balanced,65238,53376
72,2022,3,Q1,Camry,Hybrid LE,Sedan,126796,3,122992,33,1,33,Balanced,69737,57058
73,2022,3,Q1,Camry,Hybrid XLE,Sedan,134976,5,128227,82,4,20,Balanced,74236,60739
74,2022,3,Q1,Corolla,XLI,Sedan,78195,5,74285,52,2,26,Balanced,43007,35187
75,2022,3,Q1,Corolla,GLI,Sedan,84450,15,71782,5,1,5,Low,46447,38002
76,2022,3,Q1,Corolla,SE,Sedan,90706,0,90706,60,2,30,Balanced,49888,40817
77,2022,3,Q1,Corolla,Hybrid,Sedan,96961,0,96961,31,1,31,Balanced,53328,43632
78,2022,3,Q1,Land Cruiser,GX,SUV,230575,7,214434,42,1,42,Balanced,126816,103758
79,2022,3,Q1,Land Cruiser,VX,SUV,249021,7,231589,40,1,40,Balanced,136961,112059
80,2022,3,Q1,Land Cruiser,VXR,SUV,267467,0,267467,82,3,27,Balanced,147106,120360
81,2022,3,Q1,Land Cruiser,GR Sport,SUV,285913,10,257321,63,2,31,Balanced,157252,128660
82,2022,3,Q1,RAV4,LE,SUV,105262,10,94735,41,1,41,Balanced,57894,47367
83,2022,3,Q1,RAV4,XLE,SUV,113683,3,110272,27,1,27,Balanced,62525,51157
84,2022,3,Q1,RAV4,Adventure,SUV,122104,7,113556,64,1,64,Full,67157,54946
85,2022,3,Q1,RAV4,Hybrid,SUV,130525,5,123998,45,1,45,Full,71788,58736
86,2022,3,Q1,Hilux,GL,Pickup,85212,0,85212,35,1,35,Balanced,46866,38345
87,2022,3,Q1,Hilux,SR5,Pickup,92029,0,92029,81,2,40,Balanced,50615,41413
88,2022,3,Q1,Hilux,TRD,Pickup,98846,15,84019,34,1,34,Balanced,54365,44480
89,2022,3,Q1,Fortuner,GX,SUV,135337,0,135337,83,3,27,Balanced,74435,60901
90,2022,3,Q1,Fortuner,VX,SUV,146164,3,141779,78,4,19,Balanced,80390,65773
91,2022,3,Q1,Fortuner,TRD Sportivo,SUV,156991,0,156991,87,3,29,Balanced,86345,70645
92,2022,3,Q1,Yaris,Y,Hatchback,58145,0,58145,66,4,16,Balanced,31979,26165
93,2022,3,Q1,Yaris,Y+,Hatchback,62796,0,62796,78,2,39,Balanced,34537,28258
94,2022,3,Q1,Yaris,GL,Hatchback,67448,3,65424,67,3,22,Balanced,37096,30351
95,2022,3,Q1,Avalon,XLE,Sedan,145362,0,145362,40,2,20,Balanced,79949,65412
96,2022,3,Q1,Avalon,Limited,Sedan,156991,0,156991,75,4,18,Balanced,86345,70645
97,2022,3,Q1,Avalon,Touring,Sedan,168620,0,168620,15,1,15,Balanced,92741,75879
98,2022,3,Q1,C-HR,LE,SUV,92230,0,92230,89,2,44,Balanced,50726,41503
99,2022,3,Q1,C-HR,XLE,SUV,99608,5,94627,58,2,29,Balanced,54784,44823
100,2022,3,Q1,Supra,2.0,Sports,280700,3,272279,30,1,30,Balanced,154385,126315
101,2022,3,Q1,Supra,3.0,Sports,303156,0,303156,11,1,11,Low,166735,136420
102,2022,3,Q1,Supra,A91 Edition,Sports,325612,0,325612,39,1,39,Balanced,179086,146525
103,2022,4,Q2,Camry,LE,Sedan,102340,0,102340,52,2,26,Balanced,56287,46053
104,2022,4,Q2,Camry,SE,Sedan,110527,3,107211,15,1,15,Balanced,60789,49737
105,2022,4,Q2,Camry,XLE,Sedan,118714,5,112778,63,1,63,Full,65292,53421
106,2022,4,Q2,Camry,Hybrid LE,Sedan,126901,5,120555,65,1,65,Full,69795,57105
107,2022,4,Q2,Camry,Hybrid XLE,Sedan,135088,10,121579,45,2,22,Balanced,74298,60789
108,2022,4,Q2,Corolla,XLI,Sedan,78260,0,78260,70,2,35,Balanced,43043,35217
109,2022,4,Q2,Corolla,GLI,Sedan,84520,0,84520,66,2,33,Balanced,46486,38034
110,2022,4,Q2,Corolla,SE,Sedan,90781,3,88057,39,1,39,Balanced,49929,40851
111,2022,4,Q2,Corolla,Hybrid,Sedan,97042,0,97042,17,1,17,Balanced,53373,43668
112,2022,4,Q2,Land Cruiser,GX,SUV,230766,5,219227,60,1,60,Full,126921,103844
113,2022,4,Q2,Land Cruiser,VX,SUV,249228,3,241751,65,1,65,Full,137075,112152
114,2022,4,Q2,Land Cruiser,VXR,SUV,267689,0,267689,5,1,5,Low,147228,120460
115,2022,4,Q2,Land Cruiser,GR Sport,SUV,286150,7,266119,58,2,29,Balanced,157382,128767
116,2022,4,Q2,RAV4,LE,SUV,105350,0,105350,29,1,29,Balanced,57942,47407
117,2022,4,Q2,RAV4,XLE,SUV,113778,0,113778,54,2,27,Balanced,62577,51200
118,2022,4,Q2,RAV4,Adventure,SUV,122206,3,118539,38,2,19,Balanced,67213,54992
119,2022,4,Q2,RAV4,Hybrid,SUV,130634,3,126714,49,1,49,Full,71848,58785
120,2022,4,Q2,Hilux,GL,Pickup,85283,10,76754,47,1,47,Full,46905,38377
121,2022,4,Q2,Hilux,SR5,Pickup,92106,5,87500,52,1,52,Full,50658,41447
122,2022,4,Q2,Hilux,TRD,Pickup,98928,10,89035,51,1,51,Full,54410,44517
123,2022,4,Q2,Fortuner,GX,SUV,135450,5,128677,70,3,23,Balanced,74497,60952
124,2022,4,Q2,Fortuner,VX,SUV,146286,0,146286,40,1,40,Balanced,80457,65828
125,2022,4,Q2,Fortuner,TRD Sportivo,SUV,157122,0,157122,56,1,56,Full,86417,70704
126,2022,4,Q2,Yaris,Y,Hatchback,58193,0,58193,73,3,24,Balanced,32006,26186
127,2022,4,Q2,Yaris,Y+,Hatchback,62848,0,62848,48,1,48,Full,34566,28281
128,2022,4,Q2,Yaris,GL,Hatchback,67504,0,67504,49,2,24,Balanced,37127,30376
129,2022,4,Q2,Avalon,XLE,Sedan,145483,0,145483,18,1,18,Balanced,80015,65467
130,2022,4,Q2,Avalon,Limited,Sedan,157122,7,146123,42,1,42,Balanced,86417,70704
131,2022,4,Q2,Avalon,Touring,Sedan,168760,3,163697,66,1,66,Full,92818,75942
132,2022,4,Q2,C-HR,LE,SUV,92306,0,92306,78,4,19,Balanced,50768,41537
133,2022,4,Q2,C-HR,XLE,SUV,99691,0,99691,41,1,41,Balanced,54830,44860
134,2022,4,Q2,Supra,2.0,Sports,280933,0,280933,39,1,39,Balanced,154513,126419
135,2022,4,Q2,Supra,3.0,Sports,303408,3,294305,84,3,28,Balanced,166874,136533
136,2022,4,Q2,Supra,A91 Edition,Sports,325882,7,303070,38,1,38,Balanced,179235,146646
137,2022,5,Q2,Camry,LE,Sedan,102425,0,102425,54,1,54,Full,56333,46091
138,2022,5,Q2,Camry,SE,Sedan,110619,5,105088,47,1,47,Full,60840,49778
139,2022,5,Q2,Camry,XLE,Sedan,118813,10,106931,51,2,25,Balanced,65347,53465
140,2022,5,Q2,Camry,Hybrid LE,Sedan,127007,0,127007,39,1,39,Balanced,69853,57153
141,2022,5,Q2,Camry,Hybrid XLE,Sedan,135201,5,128440,68,3,22,Balanced,74360,60840
142,2022,5,Q2,Corolla,XLI,Sedan,78325,7,72842,38,1,38,Balanced,43078,35246
143,2022,5,Q2,Corolla,GLI,Sedan,84591,0,84591,40,1,40,Balanced,46525,38065
144,2022,5,Q2,Corolla,SE,Sedan,90857,0,90857,83,5,16,Balanced,49971,40885
145,2022,5,Q2,Corolla,Hybrid,Sedan,97123,3,94209,29,1,29,Balanced,53417,43705
146,2022,5,Q2,Land Cruiser,GX,SUV,230958,10,207862,39,2,19,Balanced,127026,103931
147,2022,5,Q2,Land Cruiser,VX,SUV,249435,5,236963,57,1,57,Full,137189,112245
148,2022,5,Q2,Land Cruiser,VXR,SUV,267911,0,267911,27,1,27,Balanced,147351,120559
149,2022,5,Q2,Land Cruiser,GR Sport,SUV,286388,0,286388,25,1,25,Balanced,157513,128874
150,2022,5,Q2,RAV4,LE,SUV,105437,3,102273,28,1,28,Balanced,57990,47446
151,2022,5,Q2,RAV4,XLE,SUV,113872,5,108178,82,1,82,Full,62629,51242
152,2022,5,Q2,RAV4,Adventure,SUV,122307,10,110076,52,1,52,Full,67268,55038
153,2022,5,Q2,RAV4,Hybrid,SUV,130742,0,130742,38,1,38,Balanced,71908,58833
154,2022,5,Q2,Hilux,GL,Pickup,85354,3,82793,37,1,37,Balanced,46944,38409
155,2022,5,Q2,Hilux,SR5,Pickup,92182,0,92182,61,1,61,Full,50700,41481
156,2022,5,Q2,Hilux,TRD,Pickup,99010,0,99010,56,1,56,Full,54455,44554
157,2022,5,Q2,Fortuner,GX,SUV,135562,5,128783,31,1,31,Balanced,74559,61002
158,2022,5,Q2,Fortuner,VX,SUV,146407,7,136158,28,1,28,Balanced,80523,65883
159,2022,5,Q2,Fortuner,TRD Sportivo,SUV,157252,3,152534,61,2,30,Balanced,86488,70763
160,2022,5,Q2,Yaris,Y,Hatchback,58241,15,49504,23,1,23,Balanced,32032,26208
161,2022,5,Q2,Yaris,Y+,Hatchback,62901,0,62901,35,1,35,Balanced,34595,28305
162,2022,5,Q2,Yaris,GL,Hatchback,67560,7,62830,28,1,28,Balanced,37158,30402
163,2022,5,Q2,Avalon,XLE,Sedan,145604,0,145604,61,1,61,Full,80082,65521
164,2022,5,Q2,Avalon,Limited,Sedan,157252,0,157252,69,1,69,Full,86488,70763
165,2022,5,Q2,Avalon,Touring,Sedan,168900,0,168900,61,2,30,Balanced,92895,76005
166,2022,5,Q2,C-HR,LE,SUV,92383,7,85916,12,1,12,Low,50810,41572
167,2022,5,Q2,C-HR,XLE,SUV,99774,7,92789,75,4,18,Balanced,54875,44898
168,2022,5,Q2,Supra,2.0,Sports,281166,15,238991,74,1,74,Full,154641,126524
169,2022,5,Q2,Supra,3.0,Sports,303660,0,303660,69,2,34,Balanced,167013,136647
170,2022,5,Q2,Supra,A91 Edition,Sports,326153,0,326153,53,2,26,Balanced,179384,146768
171,2022,6,Q2,Camry,LE,Sedan,102509,0,102509,74,2,37,Balanced,56379,46129
172,2022,6,Q2,Camry,SE,Sedan,110710,10,99639,56,2,28,Balanced,60890,49819
173,2022,6,Q2,Camry,XLE,Sedan,118911,0,118911,47,1,47,Full,65401,53509
174,2022,6,Q2,Camry,Hybrid LE,Sedan,127112,7,118214,59,2,29,Balanced,69911,57200
175,2022,6,Q2,Camry,Hybrid XLE,Sedan,135313,3,131253,68,1,68,Full,74422,60890
176,2022,6,Q2,Corolla,XLI,Sedan,78389,0,78389,87,2,43,Balanced,43113,35275
177,2022,6,Q2,Corolla,GLI,Sedan,84661,5,80427,64,2,32,Balanced,46563,38097
178,2022,6,Q2,Corolla,SE,Sedan,90932,5,86385,77,3,25,Balanced,50012,40919
179,2022,6,Q2,Corolla,Hybrid,Sedan,97203,10,87482,60,1,60,Full,53461,43741
180,2022,6,Q2,Land Cruiser,GX,SUV,231149,7,214968,49,1,49,Full,127131,104017
181,2022,6,Q2,Land Cruiser,VX,SUV,249641,0,249641,44,1,44,Balanced,137302,112338
182,2022,6,Q2,Land Cruiser,VXR,SUV,268134,10,241320,74,3,24,Balanced,147473,120660
183,2022,6,Q2,Land Cruiser,GR Sport,SUV,286625,5,272293,43,1,43,Balanced,157643,128981
184,2022,6,Q2,RAV4,LE,SUV,105524,15,89695,61,2,30,Balanced,58038,47485
185,2022,6,Q2,RAV4,XLE,SUV,113966,0,113966,46,2,23,Balanced,62681,51284
186,2022,6,Q2,RAV4,Adventure,SUV,122408,5,116287,21,1,21,Balanced,67324,55083
187,2022,6,Q2,RAV4,Hybrid,SUV,130850,5,124307,23,1,23,Balanced,71967,58882
188,2022,6,Q2,Hilux,GL,Pickup,85424,5,81152,28,1,28,Balanced,46983,38440
189,2022,6,Q2,Hilux,SR5,Pickup,92258,10,83032,27,1,27,Balanced,50741,41516
190,2022,6,Q2,Hilux,TRD,Pickup,99092,0,99092,52,1,52,Full,54500,44591
191,2022,6,Q2,Fortuner,GX,SUV,135675,7,126177,49,3,16,Balanced,74621,61053
192,2022,6,Q2,Fortuner,VX,SUV,146528,10,131875,53,2,26,Balanced,80590,65937
193,2022,6,Q2,Fortuner,TRD Sportivo,SUV,157382,10,141643,42,1,42,Balanced,86560,70821
194,2022,6,Q2,Yaris,Y,Hatchback,58289,0,58289,78,3,26,Balanced,32058,26230
195,2022,6,Q2,Yaris,Y+,Hatchback,62953,3,61064,54,3,18,Balanced,34624,28328
196,2022,6,Q2,Yaris,GL,Hatchback,67616,7,62882,78,2,39,Balanced,37188,30427
197,2022,6,Q2,Avalon,XLE,Sedan,145724,5,138437,42,1,42,Balanced,80148,65575
198,2022,6,Q2,Avalon,Limited,Sedan,157382,3,152660,37,2,18,Balanced,86560,70821
199,2022,6,Q2,Avalon,Touring,Sedan,169040,3,163968,49,2,24,Balanced,92972,76068
200,2022,6,Q2,C-HR,LE,SUV,92459,0,92459,59,1,59,Full,50852,41606
201,2022,6,Q2,C-HR,XLE,SUV,99856,5,94863,65,1,65,Full,54920,44935
202,2022,6,Q2,Supra,2.0,Sports,281399,0,281399,58,1,58,Full,154769,126629
203,2022,6,Q2,Supra,3.0,Sports,303911,5,288715,32,1,32,Balanced,167151,136759
204,2022,6,Q2,Supra,A91 Edition,Sports,326423,0,326423,60,2,30,Balanced,179532,146890
205,2022,7,Q3,Camry,LE,Sedan,102595,0,102595,31,1,31,Balanced,56427,46167
206,2022,7,Q3,Camry,SE,Sedan,110802,3,107477,50,2,25,Balanced,60941,49860
207,2022,7,Q3,Camry,XLE,Sedan,119010,10,107109,67,2,33,Balanced,65455,53554
208,2022,7,Q3,Camry,Hybrid LE,Sedan,127217,0,127217,49,2,24,Balanced,69969,57247
209,2022,7,Q3,Camry,Hybrid XLE,Sedan,135425,7,125945,62,3,20,Balanced,74483,60941
210,2022,7,Q3,Corolla,XLI,Sedan,78455,15,66686,47,1,47,Full,43150,35304
211,2022,7,Q3,Corolla,GLI,Sedan,84731,3,82189,58,3,19,Balanced,46602,38128
212,2022,7,Q3,Corolla,SE,Sedan,91007,0,91007,46,1,46,Full,50053,40953
213,2022,7,Q3,Corolla,Hybrid,Sedan,97284,7,90474,55,1,55,Full,53506,43777
214,2022,7,Q3,Land Cruiser,GX,SUV,231341,7,215147,53,1,53,Full,127237,104103
215,2022,7,Q3,Land Cruiser,VX,SUV,249849,0,249849,27,1,27,Balanced,137416,112432
216,2022,7,Q3,Land Cruiser,VXR,SUV,268356,0,268356,40,1,40,Balanced,147595,120760
217,2022,7,Q3,Land Cruiser,GR Sport,SUV,286863,0,286863,27,1,27,Balanced,157774,129088
218,2022,7,Q3,RAV4,LE,SUV,105612,0,105612,61,2,30,Balanced,58086,47525
219,2022,7,Q3,RAV4,XLE,SUV,114061,0,114061,20,1,20,Balanced,62733,51327
220,2022,7,Q3,RAV4,Adventure,SUV,122510,0,122510,72,1,72,Full,67380,55129
221,2022,7,Q3,RAV4,Hybrid,SUV,130959,15,111315,50,1,50,Full,72027,58931
222,2022,7,Q3,Hilux,GL,Pickup,85495,5,81220,59,2,29,Balanced,47022,38472
223,2022,7,Q3,Hilux,SR5,Pickup,92335,15,78484,60,2,30,Balanced,50784,41550
224,2022,7,Q3,Hilux,TRD,Pickup,99175,0,99175,103,2,51,Full,54546,44628
225,2022,7,Q3,Fortuner,GX,SUV,135787,3,131713,38,1,38,Balanced,74682,61104
226,2022,7,Q3,Fortuner,VX,SUV,146650,0,146650,20,1,20,Balanced,80657,65992
227,2022,7,Q3,Fortuner,TRD Sportivo,SUV,157513,10,141761,64,2,32,Balanced,86632,70880
228,2022,7,Q3,Yaris,Y,Hatchback,58338,0,58338,66,1,66,Full,32085,26252
229,2022,7,Q3,Yaris,Y+,Hatchback,63005,0,63005,14,1,14,Low,34652,28352
230,2022,7,Q3,Yaris,GL,Hatchback,67672,5,64288,51,1,51,Full,37219,30452
231,2022,7,Q3,Avalon,XLE,Sedan,145845,3,141469,87,2,43,Balanced,80214,65630
232,2022,7,Q3,Avalon,Limited,Sedan,157513,7,146487,60,1,60,Full,86632,70880
233,2022,7,Q3,Avalon,Touring,Sedan,169181,15,143803,21,1,21,Balanced,93049,76131
234,2022,7,Q3,C-HR,LE,SUV,92536,10,83282,56,1,56,Full,50894,41641
235,2022,7,Q3,C-HR,XLE,SUV,99939,5,94942,58,1,58,Full,54966,44972
236,2022,7,Q3,Supra,2.0,Sports,281633,0,281633,27,1,27,Balanced,154898,126734
237,2022,7,Q3,Supra,3.0,Sports,304164,0,304164,56,2,28,Balanced,167290,136873
238,2022,7,Q3,Supra,A91 Edition,Sports,326694,0,326694,18,1,18,Balanced,179681,147012
239,2022,8,Q3,Camry,LE,Sedan,102680,7,95492,6,1,6,Low,56474,46206
240,2022,8,Q3,Camry,SE,Sedan,110894,3,107567,39,2,19,Balanced,60991,49902
241,2022,8,Q3,Camry,XLE,Sedan,119108,7,110770,23,1,23,Balanced,65509,53598
242,2022,8,Q3,Camry,Hybrid LE,Sedan,127323,0,127323,82,4,20,Balanced,70027,57295
243,2022,8,Q3,Camry,Hybrid XLE,Sedan,135537,0,135537,37,1,37,Balanced,74545,60991
244,2022,8,Q3,Corolla,XLI,Sedan,78520,3,76164,24,1,24,Balanced,43186,35334
245,2022,8,Q3,Corolla,GLI,Sedan,84801,0,84801,45,1,45,Full,46640,38160
246,2022,8,Q3,Corolla,SE,Sedan,91083,0,91083,50,1,50,Full,50095,40987
247,2022,8,Q3,Corolla,Hybrid,Sedan,97364,10,87627,55,1,55,Full,53550,43813
248,2022,8,Q3,Land Cruiser,GX,SUV,231533,7,215325,64,1,64,Full,127343,104189
249,2022,8,Q3,Land Cruiser,VX,SUV,250055,5,237552,27,1,27,Balanced,137530,112524
250,2022,8,Q3,Land Cruiser,VXR,SUV,268578,0,268578,43,1,43,Balanced,147717,120860
251,2022,8,Q3,Land Cruiser,GR Sport,SUV,287101,7,267003,54,1,54,Full,157905,129195
252,2022,8,Q3,RAV4,LE,SUV,105700,3,102529,73,1,73,Full,58135,47565
253,2022,8,Q3,RAV4,XLE,SUV,114155,15,97031,67,2,33,Balanced,62785,51369
254,2022,8,Q3,RAV4,Adventure,SUV,122611,3,118932,56,2,28,Balanced,67436,55174
255,2022,8,Q3,RAV4,Hybrid,SUV,131067,10,117960,62,2,31,Balanced,72086,58980
256,2022,8,Q3,Hilux,GL,Pickup,85566,5,81287,39,1,39,Balanced,47061,38504
257,2022,8,Q3,Hilux,SR5,Pickup,92412,7,85943,64,2,32,Balanced,50826,41585
258,2022,8,Q3,Hilux,TRD,Pickup,99257,3,96279,41,1,41,Balanced,54591,44665
259,2022,8,Q3,Fortuner,GX,SUV,135900,0,135900,70,1,70,Full,74745,61155
260,2022,8,Q3,Fortuner,VX,SUV,146772,0,146772,46,1,46,Full,80724,66047
261,2022,8,Q3,Fortuner,TRD Sportivo,SUV,157644,3,152914,38,1,38,Balanced,86704,70939
262,2022,8,Q3,Yaris,Y,Hatchback,58386,5,55466,27,1,27,Balanced,32112,26273
263,2022,8,Q3,Yaris,Y+,Hatchback,63057,0,63057,32,1,32,Balanced,34681,28375
264,2022,8,Q3,Yaris,GL,Hatchback,67728,0,67728,55,1,55,Full,37250,30477
265,2022,8,Q3,Avalon,XLE,Sedan,145966,5,138667,64,2,32,Balanced,80281,65684
266,2022,8,Q3,Avalon,Limited,Sedan,157644,7,146608,59,2,29,Balanced,86704,70939
267,2022,8,Q3,Avalon,Touring,Sedan,169321,3,164241,66,2,33,Balanced,93126,76194
268,2022,8,Q3,C-HR,LE,SUV,92613,7,86130,49,1,49,Full,50937,41675
269,2022,8,Q3,C-HR,XLE,SUV,100022,3,97021,79,3,26,Balanced,55012,45009
270,2022,8,Q3,Supra,2.0,Sports,281866,10,253679,53,1,53,Full,155026,126839
271,2022,8,Q3,Supra,3.0,Sports,304416,5,289195,39,1,39,Balanced,167428,136987
272,2022,8,Q3,Supra,A91 Edition,Sports,326965,7,304077,37,1,37,Balanced,179830,147134
273,2022,9,Q3,Camry,LE,Sedan,102765,3,99682,66,1,66,Full,56520,46244
274,2022,9,Q3,Camry,SE,Sedan,110986,7,103216,20,1,20,Balanced,61042,49943
275,2022,9,Q3,Camry,XLE,Sedan,119207,15,101325,19,1,19,Balanced,65563,53643
276,2022,9,Q3,Camry,Hybrid LE,Sedan,127428,0,127428,58,2,29,Balanced,70085,57342
277,2022,9,Q3,Camry,Hybrid XLE,Sedan,135649,15,115301,17,1,17,Balanced,74606,61042
278,2022,9,Q3,Corolla,XLI,Sedan,78585,7,73084,68,3,22,Balanced,43221,35363
