Review_ID,Transaction_ID,Sale_Date,Year,Month,Branch_ID,City,Model,Variant,Overall_Rating,Car_Quality_Rating,Customer_Service_Rating,Price_Rating,Maintenance_Rating,Purchase_Experience_Rating,Reliability_Rating,Review_Text,Would_Recommend,Returned,Refund_Amount
30,42526,5/17/2025,2025,5,18,Dammam,Camry,SE,5,4,5,5,4,4,5,Highly recommended,Yes,No,0
31,3956,5/2/2022,2022,5,40,Arar,Hilux,GL,4,3,3,3,2,2,3,Satisfied,Yes,No,0
32,5372,6/22/2022,2022,6,23,Makkah,Fortuner,VX,4,3,4,4,4,4,4,Very good,Yes,No,0
33,9726,12/13/2022,2022,12,28,Khobar,Camry,LE,5,4,3,5,4,5,4,Great service,Yes,No,0
34,37235,2/1/2025,2025,2,25,Madinah,Corolla,XLI,5,4,5,4,4,3,4,Great service,Yes,No,0
35,22893,1/11/2024,2024,1,40,Arar,Fortuner,VX,5,4,4,4,4,5,4,Highly recommended,Yes,No,0
36,33251,10/16/2024,2024,10,30,Abha,Corolla,Hybrid,5,5,4,4,5,5,4,Best purchase ever,Yes,No,0
37,15579,5/6/2023,2023,5,21,Makkah,Hilux,GL,4,4,2,3,3,3,3,Worth it,Yes,No,0
38,23211,1/14/2024,2024,1,23,Makkah,Land Cruiser,GR Sport,5,4,5,4,3,4,5,Best purchase ever,Yes,No,0
39,15772,6/13/2023,2023,6,25,Madinah,RAV4,XLE,5,4,5,4,5,5,4,Great service,Yes,No,0
40,3420,4/13/2022,2022,4,15,Dammam,Hilux,GL,5,5,4,3,4,4,5,Highly recommended,Yes,No,0
41,39566,3/11/2025,2025,3,4,Riyadh,RAV4,LE,5,3,4,5,5,4,4,Excellent car!,Yes,No,0
42,3503,4/7/2022,2022,4,19,Dammam,Camry,XLE,2,1,2,2,1,2,2,Poor service,No,No,0
43,1656,2/7/2022,2022,2,34,Hail,Corolla,Hybrid,5,4,4,5,5,5,4,Amazing quality,Yes,No,0
44,726,1/21/2022,2022,1,32,Tabuk,Fortuner,GX,3,2,2,2,3,2,2,Fair experience,Maybe,No,0
45,30877,8/1/2024,2024,8,33,Tabuk,Camry,Hybrid LE,5,4,5,5,4,5,4,Highly recommended,Yes,No,0
46,48053,10/22/2025,2025,10,29,Khobar,Camry,Hybrid LE,4,3,4,4,2,2,3,Very good,Yes,No,0
47,33812,11/22/2024,2024,11,15,Dammam,RAV4,Hybrid,5,4,4,4,5,3,4,Great service,Yes,No,0
48,999,2/28/2022,2022,2,32,Tabuk,RAV4,Adventure,4,3,4,4,4,3,3,Worth it,Yes,Yes,104148
49,11608,2/14/2023,2023,2,29,Khobar,RAV4,XLE,5,4,4,5,5,4,5,Amazing quality,Yes,No,0
50,25809,3/20/2024,2024,3,38,Najran,Hilux,TRD,5,4,4,3,2,3,5,Great service,Yes,No,0
51,41525,5/27/2025,2025,5,22,Makkah,Camry,SE,5,4,5,4,4,4,4,Best purchase ever,Yes,No,0
52,22914,1/13/2024,2024,1,31,Abha,Camry,Hybrid LE,2,1,2,1,2,1,2,Maintenance issues,No,No,0
53,17556,8/21/2023,2023,8,5,Riyadh,Camry,XLE,4,4,5,4,4,3,3,Very good,Yes,No,0
54,49056,11/14/2025,2025,11,38,Najran,Hilux,GL,5,5,5,5,5,5,2,Excellent car!,Yes,No,0
55,46603,9/21/2025,2025,9,37,Jazan,Fortuner,GX,5,3,5,5,5,4,4,Best purchase ever,Yes,No,0
56,27668,5/4/2024,2024,5,39,Al Baha,RAV4,Hybrid,5,5,5,4,4,4,4,Great service,Yes,No,0
57,25485,3/14/2024,2024,3,31,Abha,Camry,LE,2,3,1,2,3,1,4,Disappointing,No,No,0
58,2248,3/5/2022,2022,3,17,Dammam,RAV4,XLE,5,4,5,5,5,5,5,Highly recommended,Yes,No,0
59,29212,6/5/2024,2024,6,30,Abha,Camry,XLE,5,5,5,4,5,5,5,Best purchase ever,Yes,No,0
60,34366,11/27/2024,2024,11,36,Jazan,Camry,Hybrid LE,2,2,2,2,2,2,2,Disappointing,No,No,0
61,15539,5/8/2023,2023,5,16,Dammam,Corolla,GLI,5,3,4,4,4,5,5,Highly recommended,Yes,No,0
62,27732,5/3/2024,2024,5,4,Riyadh,Corolla,GLI,5,4,5,4,3,3,5,Best purchase ever,Yes,No,0
63,8648,10/1/2022,2022,10,13,Jeddah,Corolla,GLI,2,1,2,1,1,1,2,Not satisfied,No,No,0
64,10631,1/19/2023,2023,1,4,Riyadh,Fortuner,TRD Sportivo,4,3,4,3,3,3,4,Satisfied,Yes,No,0
65,48487,11/24/2025,2025,11,30,Abha,Camry,SE,5,3,4,4,4,5,5,Best purchase ever,Yes,No,0
66,44886,8/1/2025,2025,8,37,Jazan,RAV4,Adventure,5,5,4,5,4,3,5,Excellent car!,Yes,No,0
67,50797,12/4/2025,2025,12,4,Riyadh,Camry,LE,4,3,4,5,4,4,3,Satisfied,Yes,No,0
68,6073,7/4/2022,2022,7,20,Makkah,Hilux,SR5,3,2,3,3,2,2,2,Not the best,Maybe,No,0
69,30744,8/1/2024,2024,8,33,Tabuk,Hilux,TRD,4,2,3,4,2,4,3,Very good,Yes,No,0
70,44749,8/7/2025,2025,8,38,Najran,Fortuner,GX,5,3,5,5,4,5,5,Best purchase ever,Yes,No,0
71,2494,3/22/2022,2022,3,13,Jeddah,Land Cruiser,VX,5,5,3,4,5,4,5,Excellent car!,Yes,No,0
72,42215,5/24/2025,2025,5,23,Makkah,Camry,SE,5,2,5,5,5,5,5,Excellent car!,Yes,No,0
73,6949,9/23/2022,2022,9,28,Khobar,Corolla,Hybrid,5,3,4,4,4,4,4,Amazing quality,Yes,No,0
74,4305,5/4/2022,2022,5,37,Jazan,Land Cruiser,GR Sport,3,3,2,3,4,2,2,Fair experience,Maybe,No,0
75,42347,5/28/2025,2025,5,18,Dammam,Camry,LE,5,5,5,5,4,5,5,Amazing quality,Yes,No,0
76,37926,2/4/2025,2025,2,37,Jazan,Camry,SE,5,5,5,4,5,5,4,Best purchase ever,Yes,No,0
77,18662,9/1/2023,2023,9,32,Tabuk,Camry,LE,5,5,5,4,5,3,4,Best purchase ever,Yes,No,0
78,15850,6/14/2023,2023,6,24,Madinah,Land Cruiser,GX,5,4,5,4,5,4,4,Excellent car!,Yes,No,0
79,20084,10/13/2023,2023,10,5,Riyadh,Fortuner,VX,5,5,5,3,5,5,4,Great service,Yes,No,0
80,41934,5/14/2025,2025,5,4,Riyadh,RAV4,Hybrid,5,5,5,5,4,2,3,Highly recommended,Yes,No,0
81,1508,2/9/2022,2022,2,13,Jeddah,RAV4,XLE,4,4,3,4,4,4,4,Worth it,Yes,No,0
82,7832,10/19/2022,2022,10,6,Riyadh,Corolla,XLI,5,3,5,4,4,4,4,Highly recommended,Yes,No,0
83,665,1/15/2022,2022,1,23,Makkah,Land Cruiser,VXR,5,5,4,4,5,4,5,Best purchase ever,Yes,No,0
84,28424,6/20/2024,2024,6,5,Riyadh,Camry,SE,5,4,5,4,5,5,3,Highly recommended,Yes,No,0
85,12482,3/25/2023,2023,3,5,Riyadh,Hilux,GL,4,4,4,3,3,4,4,Worth it,Yes,No,0
86,26073,4/5/2024,2024,4,25,Madinah,Camry,Hybrid LE,3,2,4,3,4,1,2,Okay,Maybe,No,0
87,29312,7/11/2024,2024,7,15,Dammam,Fortuner,VX,5,3,4,5,4,4,5,Amazing quality,Yes,No,0
88,17474,8/19/2023,2023,8,14,Jeddah,RAV4,XLE,3,2,3,2,2,3,3,Fair experience,Maybe,No,0
89,38540,3/1/2025,2025,3,36,Jazan,Hilux,SR5,5,5,4,5,4,4,4,Best purchase ever,Yes,No,0
90,19781,10/26/2023,2023,10,31,Abha,RAV4,Hybrid,5,4,5,5,5,5,4,Great service,Yes,No,0
91,21491,12/21/2023,2023,12,19,Dammam,Land Cruiser,GR Sport,4,4,4,5,3,4,2,Reliable car,Yes,No,0
92,25699,3/28/2024,2024,3,1,Riyadh,RAV4,LE,3,3,2,2,2,3,3,Okay,Maybe,No,0
93,33868,11/9/2024,2024,11,14,Jeddah,Corolla,GLI,3,3,3,4,3,2,1,Fair experience,Maybe,No,0
94,20886,11/26/2023,2023,11,10,Jeddah,Hilux,SR5,5,5,3,4,5,5,5,Best purchase ever,Yes,No,0
95,25800,3/9/2024,2024,3,34,Hail,Corolla,XLI,4,2,4,3,2,4,2,Very good,Yes,No,0
96,31944,9/27/2024,2024,9,31,Abha,Land Cruiser,VX,4,4,3,4,3,3,3,Good experience,Yes,No,0
97,7056,9/27/2022,2022,9,24,Madinah,Fortuner,TRD Sportivo,5,4,4,5,5,4,3,Excellent car!,Yes,No,0
98,49807,12/22/2025,2025,12,22,Makkah,Camry,XLE,5,3,5,5,5,5,5,Excellent car!,Yes,No,0
99,21133,11/22/2023,2023,11,16,Dammam,Camry,SE,4,3,4,4,3,2,3,Good experience,Yes,Yes,121695
100,10437,1/5/2023,2023,1,22,Makkah,RAV4,LE,5,3,5,5,5,5,5,Amazing quality,Yes,No,0
101,25387,3/12/2024,2024,3,14,Jeddah,Corolla,XLI,5,4,5,5,4,5,5,Great service,Yes,No,0
102,23204,1/1/2024,2024,1,4,Riyadh,Hilux,TRD,4,3,4,3,5,3,4,Good experience,Yes,No,0
103,10792,1/13/2023,2023,1,21,Makkah,Corolla,XLI,5,4,5,5,3,5,3,Highly recommended,Yes,No,0
104,45518,8/28/2025,2025,8,39,Al Baha,Fortuner,GX,3,3,3,3,4,2,2,Not the best,Maybe,No,0
105,32859,10/17/2024,2024,10,31,Abha,Hilux,TRD,5,4,5,4,4,5,5,Best purchase ever,Yes,No,0
106,47867,10/9/2025,2025,10,10,Jeddah,Camry,Hybrid XLE,5,4,4,5,5,3,4,Excellent car!,Yes,No,0
107,33058,10/18/2024,2024,10,16,Dammam,Hilux,TRD,5,5,5,3,4,4,4,Great service,Yes,No,0
108,24011,2/10/2024,2024,2,25,Madinah,Camry,LE,4,3,3,3,3,4,3,Very good,Yes,No,0
109,47402,10/6/2025,2025,10,20,Makkah,Corolla,Hybrid,4,4,3,4,4,4,4,Very good,Yes,No,0
110,44234,7/18/2025,2025,7,14,Jeddah,Fortuner,VX,2,1,2,1,2,2,2,Poor service,No,No,0
111,5467,7/10/2022,2022,7,2,Riyadh,Corolla,Hybrid,5,5,5,3,5,4,5,Highly recommended,Yes,No,0
112,44882,8/17/2025,2025,8,6,Riyadh,Camry,Hybrid XLE,3,2,4,1,3,3,3,Okay,Maybe,No,0
113,40245,4/3/2025,2025,4,26,Madinah,Land Cruiser,VX,3,2,2,3,3,2,3,Fair experience,Maybe,No,0
114,36786,1/9/2025,2025,1,16,Dammam,Land Cruiser,GR Sport,5,5,5,5,4,4,5,Best purchase ever,Yes,No,0
115,23240,1/11/2024,2024,1,32,Tabuk,Fortuner,TRD Sportivo,5,5,5,3,5,4,5,Amazing quality,Yes,No,0
116,36581,1/13/2025,2025,1,19,Dammam,RAV4,XLE,4,2,3,3,4,5,3,Reliable car,Yes,No,0
117,28809,6/21/2024,2024,6,35,Hail,Yaris,GL,4,4,3,3,4,3,3,Worth it,Yes,No,0
118,42151,5/27/2025,2025,5,17,Dammam,Hilux,TRD,5,4,4,5,5,5,4,Highly recommended,Yes,No,0
119,42805,6/23/2025,2025,6,40,Arar,Corolla,SE,4,4,3,3,4,3,3,Good experience,Yes,No,0
120,7781,10/6/2022,2022,10,15,Dammam,Camry,SE,4,5,3,3,2,4,4,Satisfied,Yes,No,0
121,42106,5/6/2025,2025,5,15,Dammam,Land Cruiser,VXR,5,4,4,5,5,4,5,Great service,Yes,No,0
122,30605,8/9/2024,2024,8,6,Riyadh,Corolla,Hybrid,3,2,5,3,3,2,2,Needs improvement,Maybe,No,0
123,688,1/17/2022,2022,1,7,Riyadh,Fortuner,VX,4,5,4,5,3,4,3,Worth it,Yes,No,0
124,7882,10/13/2022,2022,10,12,Jeddah,Camry,LE,4,4,4,4,5,3,2,Reliable car,Yes,No,0
125,22773,1/20/2024,2024,1,4,Riyadh,Camry,Hybrid XLE,5,4,5,5,4,5,3,Amazing quality,Yes,No,0
126,18968,9/6/2023,2023,9,17,Dammam,Yaris,Y+,1,1,1,1,1,1,1,Constant problems,No,No,0
127,7440,9/13/2022,2022,9,10,Jeddah,Land Cruiser,GR Sport,4,4,4,5,3,4,3,Satisfied,Yes,No,0
128,1600,2/23/2022,2022,2,13,Jeddah,Land Cruiser,VX,4,5,3,4,4,4,3,Good experience,Yes,No,0
129,12558,3/8/2023,2023,3,18,Dammam,Land Cruiser,GX,4,4,3,3,4,4,3,Good experience,Yes,No,0
130,3137,4/24/2022,2022,4,35,Hail,RAV4,Hybrid,3,3,2,2,3,3,1,Average,Maybe,No,0
131,3862,5/21/2022,2022,5,12,Jeddah,Yaris,GL,5,4,5,5,4,4,5,Excellent car!,Yes,No,0
132,43600,7/1/2025,2025,7,6,Riyadh,Camry,LE,5,5,4,5,4,4,5,Amazing quality,Yes,No,0
133,7218,9/1/2022,2022,9,10,Jeddah,Corolla,GLI,3,1,2,2,3,2,3,Average,Maybe,No,0
134,24852,3/9/2024,2024,3,1,Riyadh,Corolla,Hybrid,2,2,1,1,2,1,1,Disappointing,No,No,0
135,26997,4/19/2024,2024,4,21,Makkah,Camry,LE,4,3,3,4,4,3,3,Worth it,Yes,No,0
136,4673,6/21/2022,2022,6,15,Dammam,Hilux,GL,3,2,2,2,3,2,2,Fair experience,Maybe,No,0
137,48761,11/19/2025,2025,11,20,Makkah,Corolla,Hybrid,5,4,4,3,5,5,4,Highly recommended,Yes,No,0
138,16523,6/2/2023,2023,6,36,Jazan,RAV4,XLE,5,4,5,4,4,5,4,Excellent car!,Yes,No,0
139,15603,5/5/2023,2023,5,28,Khobar,Corolla,XLI,2,1,1,1,2,1,1,Disappointing,No,No,0
140,41029,4/23/2025,2025,4,39,Al Baha,Corolla,Hybrid,5,4,3,4,5,5,5,Best purchase ever,Yes,No,0
141,22590,1/25/2024,2024,1,36,Jazan,RAV4,XLE,5,5,4,5,5,4,5,Great service,Yes,No,0
142,31879,9/8/2024,2024,9,25,Madinah,RAV4,Hybrid,4,2,5,4,3,3,4,Worth it,Yes,No,0
143,46314,9/26/2025,2025,9,14,Jeddah,RAV4,XLE,4,3,5,4,2,5,5,Reliable car,Yes,No,0
144,1591,2/14/2022,2022,2,25,Madinah,Land Cruiser,GR Sport,5,5,5,4,3,5,4,Amazing quality,Yes,No,0
145,38582,3/11/2025,2025,3,31,Abha,Camry,Hybrid LE,5,4,5,5,5,4,4,Amazing quality,Yes,No,0
146,12478,3/9/2023,2023,3,19,Dammam,Camry,Hybrid LE,5,4,5,5,3,5,5,Highly recommended,Yes,No,0
147,3733,4/15/2022,2022,4,22,Makkah,Fortuner,TRD Sportivo,5,4,3,3,5,5,5,Highly recommended,Yes,No,0
148,17681,8/25/2023,2023,8,32,Tabuk,Camry,SE,4,4,4,4,4,4,4,Reliable car,Yes,Yes,111409
149,29982,7/19/2024,2024,7,20,Makkah,Land Cruiser,VXR,4,4,3,3,4,4,3,Very good,Yes,No,0
150,38066,2/17/2025,2025,2,24,Madinah,RAV4,LE,2,1,1,2,2,2,3,Maintenance issues,No,No,0
151,36811,1/26/2025,2025,1,16,Dammam,Hilux,SR5,5,4,5,5,5,5,4,Highly recommended,Yes,No,0
152,42237,5/16/2025,2025,5,37,Jazan,Camry,Hybrid LE,5,5,5,5,4,3,5,Excellent car!,Yes,No,0
153,14604,4/9/2023,2023,4,15,Dammam,Camry,SE,5,5,4,5,3,3,4,Great service,Yes,No,0
154,32911,10/7/2024,2024,10,22,Makkah,Corolla,Hybrid,1,1,1,1,1,1,1,Do not buy,No,No,0
155,37148,2/1/2025,2025,2,26,Madinah,Fortuner,TRD Sportivo,5,5,4,5,4,5,5,Best purchase ever,Yes,No,0
156,10841,1/26/2023,2023,1,25,Madinah,Fortuner,VX,5,4,5,4,4,5,5,Amazing quality,Yes,No,0
157,18125,8/13/2023,2023,8,26,Madinah,Hilux,SR5,5,4,4,3,5,4,5,Amazing quality,Yes,No,0
158,20386,11/20/2023,2023,11,13,Jeddah,C-HR,XLE,5,4,4,3,5,4,4,Best purchase ever,Yes,No,0
159,7541,9/7/2022,2022,9,34,Hail,Land Cruiser,GX,3,2,4,3,3,4,1,Average,Maybe,No,0
160,34746,12/10/2024,2024,12,33,Tabuk,Camry,Hybrid LE,4,4,1,4,3,4,4,Worth it,Yes,No,0
161,18095,8/27/2023,2023,8,24,Madinah,Camry,XLE,3,3,3,1,1,2,4,Needs improvement,Maybe,No,0
162,17122,7/5/2023,2023,7,7,Riyadh,Hilux,TRD,5,5,5,4,5,4,4,Excellent car!,Yes,No,0
163,31470,9/2/2024,2024,9,5,Riyadh,RAV4,XLE,5,4,4,3,4,5,4,Amazing quality,Yes,Yes,117755
164,29896,7/12/2024,2024,7,4,Riyadh,Fortuner,GX,5,5,2,4,5,4,4,Excellent car!,Yes,No,0
165,3169,4/4/2022,2022,4,1,Riyadh,Land Cruiser,GR Sport,4,4,3,3,4,3,3,Very good,Yes,No,0
166,27523,5/26/2024,2024,5,26,Madinah,Land Cruiser,VXR,5,4,3,3,4,3,5,Best purchase ever,Yes,No,0
167,32085,9/13/2024,2024,9,18,Dammam,Land Cruiser,GX,3,2,3,3,3,4,2,Average,Maybe,No,0
168,33453,10/15/2024,2024,10,22,Makkah,Land Cruiser,VX,5,5,4,5,4,4,4,Highly recommended,Yes,No,0
169,30201,7/27/2024,2024,7,35,Hail,Corolla,XLI,5,4,4,3,5,5,5,Amazing quality,Yes,No,0
170,8962,11/21/2022,2022,11,14,Jeddah,Fortuner,VX,5,5,5,4,5,3,5,Best purchase ever,Yes,No,0
171,28675,6/4/2024,2024,6,37,Jazan,RAV4,Adventure,5,5,5,5,5,4,5,Highly recommended,Yes,No,0
172,26688,4/10/2024,2024,4,40,Arar,RAV4,LE,5,5,5,5,3,4,5,Excellent car!,Yes,No,0
173,1164,2/19/2022,2022,2,13,Jeddah,Fortuner,GX,4,3,4,5,4,4,5,Good experience,Yes,No,0
174,39541,3/20/2025,2025,3,14,Jeddah,Corolla,Hybrid,5,4,5,4,5,5,4,Amazing quality,Yes,No,0
175,38241,3/1/2025,2025,3,31,Abha,Camry,Hybrid XLE,5,4,5,5,4,5,5,Best purchase ever,Yes,No,0
176,20569,11/25/2023,2023,11,10,Jeddah,Corolla,Hybrid,5,5,4,5,4,4,5,Amazing quality,Yes,No,0
177,17875,8/18/2023,2023,8,9,Jeddah,Hilux,GL,5,5,5,4,4,4,5,Great service,Yes,No,0
178,16236,6/28/2023,2023,6,25,Madinah,Corolla,SE,4,5,2,4,2,4,2,Very good,Yes,No,0
179,35575,12/13/2024,2024,12,14,Jeddah,Hilux,GL,4,3,3,5,3,4,5,Reliable car,Yes,No,0
180,41640,5/5/2025,2025,5,25,Madinah,Hilux,TRD,4,4,4,3,4,4,4,Good experience,Yes,No,0
181,18665,9/27/2023,2023,9,1,Riyadh,RAV4,Adventure,5,4,4,4,5,5,4,Amazing quality,Yes,No,0
182,3932,5/17/2022,2022,5,7,Riyadh,Yaris,GL,4,3,4,3,5,4,3,Reliable car,Yes,No,0
183,29911,7/6/2024,2024,7,1,Riyadh,Land Cruiser,GR Sport,4,5,4,3,4,2,5,Satisfied,Yes,No,0
184,13063,3/9/2023,2023,3,39,Al Baha,Fortuner,GX,4,4,4,4,2,4,3,Satisfied,Yes,No,0
185,46585,9/3/2025,2025,9,11,Jeddah,RAV4,LE,5,4,5,4,3,5,4,Excellent car!,Yes,No,0
186,18265,9/10/2023,2023,9,21,Makkah,Camry,XLE,5,5,5,3,5,4,4,Excellent car!,Yes,No,0
187,31802,9/11/2024,2024,9,3,Riyadh,Yaris,GL,5,4,5,5,4,4,4,Highly recommended,Yes,No,0
188,3786,4/1/2022,2022,4,19,Dammam,Camry,LE,5,3,5,4,5,4,4,Excellent car!,Yes,No,0
189,11790,2/16/2023,2023,2,2,Riyadh,RAV4,LE,5,5,5,5,4,4,5,Excellent car!,Yes,No,0
190,35540,12/28/2024,2024,12,32,Tabuk,Fortuner,VX,5,5,4,5,4,3,5,Amazing quality,Yes,No,0
191,12224,2/4/2023,2023,2,37,Jazan,Camry,XLE,3,2,3,2,2,3,3,Average,Maybe,No,0
192,39147,3/1/2025,2025,3,10,Jeddah,Land Cruiser,GX,2,1,2,3,1,1,1,Maintenance issues,No,No,0
193,29055,6/4/2024,2024,6,26,Madinah,Corolla,GLI,5,4,5,5,5,5,5,Excellent car!,Yes,No,0
194,45069,8/17/2025,2025,8,23,Makkah,Camry,XLE,5,4,4,3,4,4,3,Excellent car!,Yes,No,0
195,50456,12/5/2025,2025,12,16,Dammam,Fortuner,VX,2,2,1,3,1,1,1,Maintenance issues,No,No,0
196,29945,7/6/2024,2024,7,13,Jeddah,Fortuner,TRD Sportivo,5,4,5,4,4,4,5,Amazing quality,Yes,No,0
197,47831,10/4/2025,2025,10,16,Dammam,Fortuner,TRD Sportivo,4,4,4,3,2,4,3,Very good,Yes,No,0
198,21745,12/23/2023,2023,12,22,Makkah,Land Cruiser,GX,4,5,5,4,4,3,4,Very good,Yes,No,0
199,48722,11/6/2025,2025,11,34,Hail,Camry,SE,5,3,5,5,4,4,4,Excellent car!,Yes,No,0
200,16915,7/22/2023,2023,7,16,Dammam,Land Cruiser,GX,4,4,4,3,5,5,4,Satisfied,Yes,No,0
201,34673,11/18/2024,2024,11,21,Makkah,Fortuner,VX,5,4,5,3,5,4,4,Excellent car!,Yes,No,0
202,26878,4/9/2024,2024,4,17,Dammam,Land Cruiser,GR Sport,5,4,5,5,5,4,5,Best purchase ever,Yes,No,0
203,39752,3/3/2025,2025,3,34,Hail,Camry,Hybrid LE,5,3,5,5,5,4,5,Amazing quality,Yes,No,0
204,37394,2/3/2025,2025,2,33,Tabuk,Corolla,Hybrid,4,2,3,2,4,2,5,Very good,Yes,No,0
205,28319,5/23/2024,2024,5,5,Riyadh,Camry,LE,2,2,2,1,1,1,1,Disappointing,No,No,0
206,6737,8/21/2022,2022,8,21,Makkah,RAV4,LE,4,3,3,4,4,4,3,Satisfied,Yes,No,0
207,20322,10/8/2023,2023,10,33,Tabuk,Corolla,GLI,4,2,4,4,3,4,4,Reliable car,Yes,No,0
208,24018,2/11/2024,2024,2,32,Tabuk,Corolla,Hybrid,2,3,2,2,1,2,1,Poor service,No,No,0
209,11528,2/24/2023,2023,2,2,Riyadh,RAV4,Adventure,5,5,5,4,5,5,5,Highly recommended,Yes,No,0
210,22063,12/4/2023,2023,12,16,Dammam,RAV4,Adventure,5,5,4,5,4,3,5,Great service,Yes,No,0
211,45641,9/28/2025,2025,9,16,Dammam,RAV4,XLE,4,4,1,3,4,3,4,Good experience,Yes,No,0
212,19827,10/25/2023,2023,10,26,Madinah,Camry,Hybrid LE,1,1,1,1,1,1,1,Worst experience,No,No,0
213,26055,4/25/2024,2024,4,2,Riyadh,Camry,SE,5,5,5,3,5,5,5,Great service,Yes,No,0
214,25942,4/5/2024,2024,4,3,Riyadh,Yaris,Y+,5,4,5,4,5,4,5,Excellent car!,Yes,No,0
215,27424,5/12/2024,2024,5,31,Abha,Land Cruiser,VXR,3,1,1,3,3,3,3,Fair experience,Maybe,No,0
216,1902,3/5/2022,2022,3,23,Makkah,RAV4,LE,5,5,5,5,5,3,4,Great service,Yes,No,0
217,10870,1/3/2023,2023,1,8,Riyadh,Avalon,Limited,5,5,3,5,5,5,5,Great service,Yes,No,0
218,41710,5/19/2025,2025,5,15,Dammam,RAV4,Adventure,5,4,4,4,4,5,5,Amazing quality,Yes,No,0
219,9808,12/3/2022,2022,12,8,Riyadh,Camry,SE,4,4,4,5,4,3,3,Reliable car,Yes,No,0
220,6384,8/15/2022,2022,8,27,Khobar,Fortuner,VX,5,5,3,5,4,5,5,Great service,Yes,No,0
221,41238,4/11/2025,2025,4,17,Dammam,Camry,XLE,5,4,5,5,5,4,5,Great service,Yes,No,0
